item_name,min_x,min_y,min_z,max_x,max_y,max_z,width,height,depth
SFI-MMTDCO2,335.9499999160127,390.0950386336126,0,664.1749998339561,611.6760385782169,0,328.2249999179434,221.5809999446043,0
SFI-MMTDMO2,239.9429628236957,324.713867029915,0,743.198962697881,672.3968669429946,0,503.25599987418536,347.68299991307964,0
SFI-MMTLPMO2,240.1914573756175,327.6433148185909,0,743.447457249803,675.3263147316704,0,503.2559998741856,347.6829999130795,0
SFI-MMTLT2,266.0624877112622,341.885987692306,0,733.9374875942933,658.1139876132493,0,467.87499988303114,316.22799992094326,0
SFI-MMTLTB2,124.8734877465594,-744.8264875915708,0,875.1264875589962,-255.1734877139843,0,750.2529998124369,489.65299987758647,0
SFI-MMTMTB2,239.9429628236957,324.713867029915,0,743.198962697881,672.3968669429948,0,503.25599987418536,347.68299991307987,0
SFI-MMTRTC-01,158.5676110714692,283.4346110402521,0,841.2046109008098,716.3376109320267,0,682.6369998293407,432.9029998917746,0
SFI-MMTRTC-02,123.4801030057988,262.4077834342222,0,876.292102817596,755.6977833108988,0,752.8119998117971,493.2899998766766,0
SFI-MMTST2,269.4999877104029,381.4999876824024,0,730.4999875951526,618.4999876231528,0,460.9999998847497,236.99999994075046,0
SFI-MMTXLEXTB2,252.4430466338702,319.390049901164,0,747.4430465101206,690.2450498084501,0,494.99999987625034,370.85499990728607,0
SFI-MPC2,-107.9483333063463,-25.34505554921902,0,318.5566665870273,322.3839443638485,0,426.50499989337357,347.7289999130675,0
SFI-MPCB2,-11.41500296412767,-50.19748803472714,0,221.414996977665,347.1975118659242,0,232.82999994179266,397.3949999006513,0
SFI-MPDORG2-01,-134.2250029334251,32.82651194451651,0,344.2249969469622,264.1735118866799,0,478.4499998803873,231.34699994216336,0
SFI-MPDORG2-02,-134.2250029334254,92.44051192961354,0,344.2249969469622,204.5595119015839,0,478.4499998803876,112.11899997197037,0
SFI-MPDTB2,282.5974999293505,328.9116110288832,0,717.5274998206186,670.8606109433961,0,434.9299998912681,341.94899991451285,0
SFI-MPLB2,-159.9970029269815,-40.64298803711619,0,369.9969969405199,337.6430118683123,0,529.9939998675014,378.2859999054285,0
SFI-MPORC2,30.34549999241364,134.4998332997084,0,369.7044999075739,366.0918332418104,0,339.35899991516027,231.59199994210198,0
SFI-MPORG2-01,-9.06922221995495,-25.6815555491347,0,219.3247777229463,322.7204443637639,0,228.39399994290125,348.4019999128986,0
SFI-MPORG2-02,-9.06922221995495,-25.6815555491347,0,219.3247777229463,322.7204443637639,0,228.39399994290125,348.4019999128986,0
SFI-MPORG2-03,67.59527776087894,-11.03955555279545,0,142.6602777421124,308.0784443674253,0,75.06499998123347,319.1179999202207,0
SFI-MPORG2,-136.5880029328343,-25.70098804085106,0,346.5879969463717,322.7010118720482,0,483.17599987920596,348.4019999128992,0
SFI-MPRTC-01,-200.5179820910297,-98.13956208709376,0,529.9090177263635,417.1674377840794,0,730.4269998173932,515.3069998711732,0
SFI-MPRTC-02,-233.1111110528333,-81.72411109068005,0,585.888888742417,434.5018887802634,0,818.9999997952502,516.2259998709435,0
SFI-MPSB2,-153.5260029286,-27.65248804036257,0,363.5259969421374,324.652511871561,0,517.0519998707374,352.3049999119236,0
SFI-MPTBA2,-157.0425029277203,-34.11648803874746,0,367.0424969412587,331.1165118699443,0,524.084999868979,365.2329999086918,0
SFI-MPTC2,-149.5083332959563,-54.92516665293521,0,360.1166665766376,352.3168332452543,0,509.6249998725939,407.24199989818953,0
SFI-MPTCWB3-01,-150.2097221846697,-7.313555553726922,0,360.4652776876617,304.3524443683564,0,510.67499987233134,311.6659999220833,0
SFI-MPTCWB3-02,-149.5083332959563,-54.92516665293521,0,360.1166665766376,352.3168332452543,0,509.6249998725939,407.24199989818953,0
SFI-MPXLTB2,-79.09314348251922,2.009640741622888,0,432.0348563896986,347.5386406552403,0,511.1279998722178,345.5289999136174,0
SFI-MTC2,-161.5650029265902,-36.37748803818214,0,371.5649969401277,333.377511869379,0,533.1299998667179,369.75499990756117,0
SFI-MTCB2,-163.5580029260918,-11.94048804429129,0,373.5579969396289,308.9405118754884,0,537.1159998657207,320.8809999197797,0
SFI-MTO2,-166.0672221807054,-7.631666664759052,0,376.322777683697,305.0233332570778,0,542.3899998644024,312.65499992183686,0
SFI-NK940,-154.800222183522,-35.26666665785032,0,365.055777686514,332.6583332501688,0,519.8559998700359,367.9249999080191,0
SFI-NUPLARG-01,-121.7261666362348,107.5762777508839,0,895.3678331094915,429.7042776703518,0,1017.0939997457263,322.1279999194679,0
SFI-NUPLARG-02,-125.5224827463973,99.65151330842076,0,898.5225169975914,437.3485132239961,0,1024.0449997439887,337.69699991557536,0
SFI-NUPLARGL,-130.0209827452726,98.10201330880798,0,903.0210169964664,438.8980132236088,0,1033.041999741739,340.79599991480086,0
SFI-NUPMED-01,16.32651721814045,108.124013306302,0,756.673517033054,428.8760132261141,0,740.3469998149136,320.7519999198121,0
SFI-NUPMED-02,10.26251721965643,102.3265133077517,0,762.7375170315375,434.673513224665,0,752.4749998118812,332.3469999169133,0
SFI-NUPMEDL,6.461017220606712,98.45451330871961,0,766.5390170305873,438.5455132236972,0,760.0779998099806,340.0909999149776,0
SFI-NUPXLARG-01,229.609444387042,-386.3517221256343,0,543.6794443085246,923.6322775468698,0,314.0699999214826,1309.983999672504,0
SFI-NUPXLARG-02,218.6964443897705,-392.2401110130513,0,554.5924443057968,929.1678886565966,0,335.8959999160263,1321.4079996696478,0
SFI-NUPXLARGL,216.7039443902684,-395.1357221234383,0,556.584944305298,932.4162775446737,0,339.88099991502963,1327.5519996681119,0
SFI-OXTTC2,-135.6440029330754,19.00001194796834,0,345.6439969466026,278.0000118832182,0,481.287999879678,258.99999993524983,0
SFI-OXTTO2,-129.6958302491515,16.69585138539332,0,340.3041635298328,280.6958152069254,0,469.9999937789843,263.99996382153205,0
SFI-OXTTTC2,-134.0000029334866,12.50001194959386,0,343.9999969470135,284.5000118815936,0,477.9999998805001,271.99999993199975,0
SFI-P0340-01,-122.3722222195712,-79.47205553568739,0,332.6277776666787,376.5109443503166,0,454.9999998862499,455.982999886004,0
SFI-P0340-02,-126.74565982548,-380.5447358490423,0,337.6853400584121,83.88626403484982,0,464.4309998838921,464.4309998838921,0
SFI-P0350-01,-147.0000029302314,-103.4999880214016,0,356.9999969437688,400.5000118525983,0,503.9999998740002,503.99999987399985,0
SFI-P0350-02,-157.0000029277314,-113.4999880189012,0,366.9999969412685,410.5000118500987,0,523.9999998689999,523.9999998689999,0
SFI-P0370-01,-194.5000029183565,-150.9999880095264,0,404.4999969318936,448.0000118407235,0,598.9999998502501,598.9999998502499,0
SFI-P0370-02,-203.0000029162312,-159.4999880074017,0,412.9999969297689,456.5000118385984,0,615.999999846,615.9999998460002,0
SFI-P1050-01,13.1487956530767,81.27665872403907,0,194.3177956077848,194.0566586958438,0,181.1689999547081,112.77999997180473,0
SFI-P1060-01,-8.105502964954866,86.1305119311909,0,218.1054969784926,210.8695119000062,0,226.21099994344746,124.73899996881529,0
SFI-P11201,6.804166664965562,82.01944442393965,0,203.804166615716,215.0194443906899,0,196.99999995075046,132.99999996675024,0
SFI-P11202,6.804166664965562,82.01944442393965,0,203.804166615716,215.0194443906899,0,196.99999995075046,132.99999996675024,0
SFI-P11501,-5.823833331877365,69.24994442713256,0,216.4321666125586,227.7889443874969,0,222.25599994443596,158.53899996036435,0
SFI-P11502-02,-7.725222220290755,67.5194444275644,0,217.9807777232825,229.5194443870648,0,225.70599994357326,161.9999999595004,0
SFI-P1200-01,105.9889985846138,56.42351248589456,0,354.0109985226087,248.5765124378561,0,248.0219999379949,192.15299995196153,0
SFI-P1200-02,105.0937492792821,56.03820068043494,0,355.0937492167818,249.0382006321847,0,249.99999993749972,192.99999995174977,0
SFI-P1400-01,-51.12800295419933,29.05451194545964,0,261.1279969677364,267.9455118857372,0,312.25599992193577,238.89099994027754,0
SFI-P1400-02,-47.66884711090278,27.23843893819282,0,268.3311528100972,269.238438877693,0,315.999999921,241.99999993950019,0
SFI-P1450-01,-87.32383331150243,11.99444444144647,0,297.932166592184,285.0444443731833,0,385.2559999036864,273.0499999317368,0
SFI-P1450-02,-89.17622219992793,9.877777775305766,0,299.4317777029196,287.5138888170104,0,388.6079999028475,277.6361110417046,0
SFI-P1450-03,-97.01388886463512,9.17222221992981,0,307.6222221453167,287.8666665947,0,404.63611100995183,278.69444437477017,0
SFI-P1485-01,115.7046666377407,211.5312777248948,0,590.2036665191159,494.0242776542715,0,474.4989998813752,282.49299992937665,0
SFI-P1485-02,114.9546666379282,210.2812777252077,0,590.9536665189283,495.2742776539595,0,475.99899988100015,284.9929999287518,0
SFI-P1500-01,-114.5855029383338,0.3925119526260778,0,324.5854969518738,296.6075118785724,0,439.17099989020755,296.2149999259463,0
SFI-P1500-02,-117.0000029377312,-2.299988046701492,0,326.9999969512686,299.3000118778986,0,443.9999998889998,301.5999999246001,0
SFI-P1507-01,-98.00000294248134,-6.499988045651179,0,307.9999969560184,303.5000118768486,0,405.9999998984997,309.9999999224998,0
SFI-P1507-02,-99.70050294205616,-9.616988044871487,0,309.7004969555936,306.6170118760702,0,409.4009998976498,316.2339999209417,0
