sku,type,name,stock_available,stock_open,weight_kg,stock_level_available,stock_level_open,stockwarn,syncstock,productweight,updated_at
SFI-MPTBA250K,1,"[BLACK 50mm] Milwaukee Packout Toolbox Insert",,,,298,2,,,,2025-03-26 08:30:26
SFI-P1510B250K,1,"[BLACK 50mm] Peli 1510 Foam Inserts (Base)",,,,300,0,,,,2025-03-15 00:28:53
SFI-P1510FP250K,1,"[BLACK 50mm] Peli 1510 Foam Inserts (Full Pack)",,,,300,0,,,,2025-03-15 00:28:53
SFI-P1510T250K,1,"[BLACK 50mm] Peli 1510 Foam Inserts (Top)",,,,300,0,,,,2025-03-15 00:28:53
SFI-RTC250K,1,"[BLACK 50mm] Ridgid Tool Cart (Base) Foam Inserts",,,,300,0,,,,2025-03-15 00:28:27
SFI-RTCB250K,1,"[BLACK 50mm] Ridgid Tool Chest (Middle) Foam Inserts",,,,300,0,,,,2025-03-15 00:28:50
SFI-RTO250K,1,"[BLACK 50mm] Ridgid Tool Organiser (Top) Foam Inserts",,,,300,0,,,,2025-03-15 00:28:24
SFI-RBRCS250K,1,"[BLACK 50mm] Rothenberger ROCASE 4212 Inserts",,,,300,0,,,,2025-03-15 00:28:53
SFI-RBRCM250K,1,"[BLACK 50mm] Rothenberger ROCASE 4414 Inserts",,,,300,0,,,,2025-03-15 00:28:53
SFC50K,1,"[BLACK 50mm] Shadow Foam Custom Size",,,,300,0,,,,2025-03-25 00:28:46
SFS50K,1,"[Black 50mm] Shadow Foam Sheet 2m x 1m",,,,129,0,,,,2025-03-26 10:00:22
SFI-DTS2T250K,1,"[BLACK 50mm] ToughSystem 2.0 Tray Inserts",,,,300,0,,,,2025-03-15 00:28:53
SFI-TT10050K,1,"[BLACK 50mm] Trend Tool Tote 100 Inserts",,,,300,0,,,,2025-03-15 00:28:19
SFI-TT100250K,1,"[BLACK 50mm] Trend Tool Tote 100 Inserts",,,,300,0,,,,2025-03-15 00:28:42
SFI-TT20050K,1,"[BLACK 50mm] Trend Tool Tote 200 Inserts",,,,300,0,,,,2025-03-15 00:28:51
SFI-TT200250K,1,"[BLACK 50mm] Trend Tool Tote 200 Inserts",,,,300,0,,,,2025-03-15 00:28:41
SFI-DTSRTB250K,1,"[BLACK 50mm] TSTAK Rolling Toolbox Inserts",,,,300,0,,,,2025-03-15 00:28:53
SFS-100/50/70K,1,"[BLACK 70] Medium Sheet",,,,298,0,,,,2025-03-26 10:19:42
SFS-80/50/60K,1,"[BLACK 70mm] CLEARANCE Medium Sheet - 800mm X 500mm",,,,0,0,,,,2025-03-13 11:01:23
SFC70K,1,"[BLACK 70mm] Shadow Foam Custom Size",,,,300,0,,,,2025-03-25 00:48:06
SFS70K,1,"[Black 70mm] Shadow Foam Sheet 2m x 1m",,,,23,0,,,,2025-03-26 10:00:22
MDHA3K,1,"[BLACK A3] Magnetic Document Holder - Pack of 5",,,,372,1,,,,2025-03-26 10:45:26
UFMDHA4K,1,"[BLACK A4] Felt Backed Document Holder - Pack of 5",,,,44,0,,,,2025-03-25 16:34:44
UFMDHWA4K,1,"[BLACK A4] Felt Backed WINDOW CUT-OUT Document Holder - Pack of 5",,,,98,0,,,,2024-11-26 17:12:06
MDHA4K,1,"[BLACK A4] Magnetic Document Holder - Pack of 5",,,,840,0,,,,2025-03-07 14:54:48
UFMDHA5K,1,"[BLACK A5] Felt Backed Document Holder - Pack of 5",,,,96,0,,,,2024-11-26 16:42:01
MDHA5K,1,"[BLACK A5] Magnetic Document Holder - Pack of 5",,,,109,0,,,,2025-03-17 15:35:22
GNC100K,1,"[BLACK] 100x Grease Nipple Cap",,,,87,0,,,,2024-08-27 14:34:36
SWM10K,1,"[BLACK] 100x M10 Washer",,,,37,0,,,,2025-03-10 13:14:17
SWM5K,1,"[BLACK] 100x M5 Washer",,,,33,0,,,,2025-03-10 13:14:17
SWM6K,1,"[BLACK] 100x M6 Washer",,,,27,0,,,,2025-03-10 13:14:17
SWM8K,1,"[BLACK] 100x M8 Washer",,,,37,0,,,,2025-03-10 13:14:17
ZT135K,1,"[BLACK] 100x Zip Ties",,,,3,0,,,,2025-01-02 10:43:07
T11K,1,"[BLACK] 12mm PVC Tape",,,,34,0,,,,2025-03-10 12:31:15
PVCT50K,1,"[BLACK] 50mm PVC Tape",,,,151,0,,,,2025-03-24 09:14:57
PVCT75K,1,"[BLACK] 75mm PVC Tape",,,,47,0,,,,2025-03-26 11:32:07
SFI-MTB200K,1,"[BLACK] Motamec Flight Case 50mm and 70mm Insert Pack [530x380]",,,,23,0,,,,2025-03-26 10:00:22
SFI-NUPXLARGK,1,"[BLACK] Nuprol Extra Large Hard Case Inserts",,,,129,0,,,,2025-03-26 10:00:22
SFI-NUPXLARGLK,1,"[BLACK] Nuprol Extra Large Lid Insert",,,,235,0,,,,2025-03-25 09:30:12
SFI-NUPLARGBK,1,"[BLACK] Nuprol Large Hard Case Base Insert",,,,0,0,,,,2023-05-24 15:55:21
SFI-NUPLARGK,1,"[BLACK] Nuprol Large Hard Case Inserts",,,,129,0,,,,2025-03-26 10:00:22
SFI-NUPLARGLK,1,"[BLACK] Nuprol Large Lid Insert",,,,235,0,,,,2025-03-25 09:30:12
SFI-NUPMEDK,1,"[BLACK] Nuprol Medium Inserts",,,,129,0,,,,2025-03-26 10:00:22
SFI-NUPMEDLK,1,"[BLACK] Nuprol Medium Lid Insert",,,,235,0,,,,2025-03-25 09:30:12
PPK,1,"[BLACK] Paint Pen",,,,87,0,,,,2024-07-22 14:03:09
SF-SAMPLE-K,1,"[BLACK] Sample Pack",,,,99999803,2,,,,2025-03-25 13:43:47
TMKK,1,"[BLACK] Tool Marking Kit | 100 Zip Ties, Paint Pen, 12mm Tape",,,,3,0,,,,2025-03-10 12:11:11
PVCT50KW,1,"[BLACK/WHITE] 50mm PVC Tape",,,,52,0,,,,2025-03-25 09:11:35
PVCT50KY,1,"[BLACK/YELLOW] 50mm PVC Tape",,,,72,0,,,,2025-03-19 09:07:19
SFS-100/50/20B,1,"[BLUE 20] Medium Sheet",,,,0,0,,,,2024-07-22 14:03:14
SFS-80/50/20B,1,"[BLUE 20] Medium Sheet - 800mm X 500mm",,,,0,0,,,,2024-07-22 14:03:14
SFS-100/50/30B,1,"[BLUE 30] Medium Sheet",,,,284,16,,,,2025-03-26 08:05:26
0604565193544,1,"[BLUE 30] Retail Pack",,,,154,10,,,,2025-03-26 10:44:42
SFI-MTBS330B,1,"[BLUE 30mm Triple Pack] Magnusson Full Stack Pack Inserts",,,,300,0,,,,2025-03-15 00:03:10
SFI-FSOR1330B,1,"[BLUE 30mm TRIPLE PACK] Sortainer Inserts",,,,300,0,,,,2025-03-15 00:03:10
SFI-CLO230B,1,"[BLUE 30mm TWIN PACK] Erbauer Connecx Organiser Inserts",,,,300,0,,,,2025-03-15 00:04:56
SFI-BLBXOG230B,1,"[BLUE 30mm Twin Pack] L-Boxx GEN 1 Inserts",,,,300,0,,,,2025-03-15 00:03:10
SFI-BLBX230B,1,"[BLUE 30mm Twin Pack] L-Boxx GEN 2 Inserts",,,,300,0,,,,2025-03-26 00:03:23
SFI-BLSBX230B,1,"[BLUE 30mm Twin Pack] LS-Boxx Inserts",,,,300,0,,,,2025-03-15 00:04:56
SFI-BLST230B,1,"[BLUE 30mm Twin Pack] LS-Tray Inserts",,,,300,0,,,,2025-03-15 00:04:56
SFI-MTC230B,1,"[BLUE 30mm Twin Pack] Magnusson Base Foam Inserts",,,,300,0,,,,2025-03-15 00:04:56
SFI-MTCB230B,1,"[BLUE 30mm Twin Pack] Magnusson Middle Foam Inserts",,,,300,0,,,,2025-03-15 00:04:56
SFI-MTO230B,1,"[BLUE 30mm Twin Pack] Magnusson Top Foam Inserts",,,,300,0,,,,2025-03-15 00:03:10
SFI-MMBX230B,1,"[BLUE 30mm Twin Pack] Metabox Inserts",,,,300,0,,,,2025-03-15 00:04:56
SFI-OXTTC230B,1,"[BLUE 30mm TWIN PACK] OX TOOLTREK Cart Inserts",,,,299,1,,,,2025-03-25 13:51:58
SFI-OXTTTC230B,1,"[BLUE 30mm TWIN PACK] OX TOOLTREK Chest Inserts",,,,300,0,,,,2025-03-15 00:04:56
SFI-OXTTO230B,1,"[BLUE 30mm TWIN PACK] OX TOOLTREK Organiser Inserts",,,,300,0,,,,2025-03-15 00:04:56
SFI-DORG230B,1,"[BLUE 30mm Twin Pack] Pro Organiser Inserts",,,,300,0,,,,2025-03-15 00:03:10
SFI-RCM230B,1,"[BLUE 30mm TWIN PACK] Reisser Crate Mate Inserts",,,,300,0,,,,2025-03-15 00:04:56
SFI-RLD230B,1,"[BLUE 30mm TWIN PACK] Ryobi LINK Drawer Inserts",,,,300,0,,,,2025-03-15 00:04:56
SFI-DTSYS2HO230B,1,"[BLUE 30mm Twin Pack] ToughSystem 2.0 Half Width Organiser Inserts",,,,300,0,,,,2025-03-15 00:04:56
SFI-DTSYS2RTB230B,1,"[BLUE 30mm Twin Pack] ToughSystem 2.0 Rolling Toolbox Inserts",,,,300,0,,,,2025-03-15 00:03:10
SFI-DTSYS2TB230B,1,"[BLUE 30mm Twin Pack] ToughSystem 2.0 Toolbox Inserts",,,,300,0,,,,2025-03-15 00:03:10
SFI-DTSYSD230B,1,"[BLUE 30mm Twin Pack] ToughSystem Drawers Inserts",,,,300,0,,,,2025-03-22 00:03:16
SFI-DTSYSB230B,1,"[BLUE 30mm Twin Pack] ToughSystem DS150 Inserts",,,,300,0,,,,2025-03-15 00:03:10
SFI-DTSYSA230B,1,"[BLUE 30mm Twin Pack] ToughSystem DS400 Inserts",,,,301,0,,,,2025-03-15 00:03:10
SFI-DTSYSO230B,1,"[BLUE 30mm Twin Pack] ToughSystem Organiser Inserts",,,,300,0,,,,2025-03-15 00:04:56
SFI-DTSO230B,1,"[BLUE 30mm Twin Pack] TSTAK Organiser Inserts",,,,300,0,,,,2025-03-15 00:04:56
SFI-DTSRTB230B,1,"[BLUE 30mm Twin Pack] TSTAK Rolling Toolbox Inserts",,,,300,0,,,,2025-03-15 00:04:56
SFI-DTSD230B,1,"[BLUE 30mm Twin Pack] TSTAK/ProStack Drawer Inserts",,,,300,0,,,,2025-03-25 00:04:58
SFI-BWBX230B,1,"[BLUE 30mm Twin Pack] W-Boxx Inserts",,,,300,0,,,,2025-03-15 00:04:56
SFI-DTSYS2CB230B,1,"[BLUE 30mm] DeWalt ToughSystem 2.0 Charger Box Foam Inserts",,,,300,0,,,,2025-03-15 00:04:56
SFI-DTSB230B,1,"[BLUE 30mm] DeWalt/Stanley TSTAK/ProStack Toolbox Insert",,,,300,0,,,,2025-03-25 00:04:58
SFI-FSYS3L230B,1,"[BLUE 30mm] Festool SYS3 L Insert",,,,300,0,,,,2025-03-15 00:03:10
SFI-FSYS3XXL30B,1,"[BLUE 30mm] Festool SYS3 XXL Insert",,,,300,0,,,,2025-03-15 00:03:10
SFI-FSYSC230B,1,"[BLUE 30mm] Festool Systainer Cantilever Foam Insert",,,,300,0,,,,2025-03-15 00:04:56
SFI-FSYSM230B,1,"[BLUE 30mm] Festool/TANOS Mini Systainer Insert",,,,300,0,,,,2025-03-15 00:03:10
SFI-FSYSC1230B,1,"[BLUE 30mm] Festool/TANOS SYS COMBI Insert",,,,300,0,,,,2025-03-15 00:04:56
SFI-FSYS1230B,1,"[BLUE 30mm] Festool/TANOS T-LOC Systainer Insert",,,,299,1,,,,2025-03-25 19:31:52
SFI-FSYS130B,1,"[BLUE 30mm] Festool/TANOS T-LOC Systainer Insert",,,,300,0,,,,2025-03-15 00:04:02
SFI-HAMT230B,1,"[BLUE 30mm] Halfords AM Tray Insert Pack | 548 x 377mm & 552 x 382mm",,,,300,0,,,,2025-03-19 11:32:01
SFI-HHIT230B,1,"[BLUE 30mm] Hikoki HIT System Case Insert",,,,300,0,,,,2025-03-15 00:04:56
